OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_321	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Didymosphaeriaceae	 Kalmusia	 Kalmusia variispora
OTU_991	Fungi	 Basidiomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Basidiomycota
OTU_1871	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Cephalothecaceae	 unidentified	 uncultured Cephalotheca
OTU_1216	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Xylariaceae	 Rosellinia	 Rosellinia mammiformis
OTU_1446	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Pichiaceae	 Ogataea	 Ogataea nakhonphanomensis
OTU_1487	Fungi	 Ascomycota	 Sordariomycetes	 Microascales	 Ceratocystidaceae	 Huntiella	 Huntiella tyalla
OTU_756	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Metschnikowiaceae	 Metschnikowia	 Metschnikowia kamienskii
OTU_676	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Exophiala	 [Exophiala] eucalyptorum
OTU_153	Fungi	 Ascomycota	 Arthoniomycetes	 Lichenostigmatales	 Phaeococcomycetaceae	 Phaeococcomyces	 Phaeococcomyces mexicanus
OTU_1706	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Geastrumia	 Geastrumia sp. N12C11
OTU_243	Fungi	 Ascomycota	 Taphrinomycetes	 Taphrinales	 Taphrinaceae	 Taphrina	 Taphrina inositophila
OTU_140	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Niessliaceae	 Niesslia	 Niesslia exilis
OTU_816	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Metschnikowiaceae	 Metschnikowia	 Metschnikowia reukaufii
OTU_53	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Debaryomycetaceae	 Wickerhamia	 Wickerhamia sp.
OTU_610	Fungi	 Ascomycota	 Leotiomycetes	 Erysiphales	 Erysiphaceae	 Erysiphe	 Erysiphe heraclei
OTU_349	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Tetracladium
OTU_1863	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Metschnikowiaceae	 Metschnikowia	 Metschnikowia reukaufii
OTU_327	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 unidentified	 unidentified	 uncultured Pleurophoma
OTU_1570	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Tricladium	 Tricladium sp. 117567
OTU_532	Fungi	 Basidiomycota	 Agaricomycetes	 Corticiales	 Corticiaceae	 Hyphodontia	 Hyphodontia reticulata
OTU_1880	Fungi	 Ascomycota	 Sordariomycetes	 Ophiostomatales	 Ophiostomataceae	 Ceratocystiopsis	 Ceratocystiopsis minima
OTU_31	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Debaryomycetaceae	 Debaryomyces	 Debaryomyces maramus
OTU_988	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Ascomycota
OTU_1872	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Claviceps	 Claviceps monticola
OTU_693	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Ascomycota
OTU_560	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Cosmospora	 Cosmospora sp. IMI 362240
OTU_1988	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Pochonia	 Pochonia chlamydosporia
OTU_298	Fungi	 Basidiomycota	 Exobasidiomycetes	 Entylomatales	 unidentified	 Tilletiopsis	 Tilletiopsis washingtonensis
OTU_774	Fungi	 Basidiomycota	 Tremellomycetes	 Trichosporonales	 Trichosporonaceae	 Trichosporon	 Trichosporon sp. IFM 56913
OTU_855	Fungi	 Basidiomycota	 Agaricomycetes	 Boletales	 Boletaceae	 Tylopilus	 Tylopilus balloui
OTU_18	Fungi	 Ascomycota	 Lecanoromycetes	 Pertusariales	 Icmadophilaceae	 Siphula	 Siphula dissoluta
OTU_334	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 unidentified	 Sarocladium	 Sarocladium summerbellii
OTU_330	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Cladosporiaceae	 Verrucocladosporium	 Verrucocladosporium dirinae
OTU_2348	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Cladosporiaceae	 Cladosporium	 Cladosporium sp. 5 SG-2017
OTU_231	Fungi	 Ascomycota	 Lecanoromycetes	 Pertusariales	 Icmadophilaceae	 Thamnolia	 Thamnolia vermicularis
OTU_337	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 unidentified	 Sarocladium	 Sarocladium implicatum
OTU_208	Fungi	 Basidiomycota	 Tremellomycetes	 Cystofilobasidiales	 Mrakiaceae	 Mrakia	 Mrakia aquatica
OTU_242	Fungi	 Ascomycota	 Dothideomycetes	 Dothideales	 Dothioraceae	 Pringsheimia	 Pringsheimia smilacis
OTU_2346	Fungi	 Ascomycota	 Leotiomycetes	 Thelebolales	 Thelebolaceae	 Thelebolus	 Thelebolus sp. CRY-YB-241
OTU_2039	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Cuniculitremaceae	 Kockovaella	 Kockovaella mexicana
OTU_1944	Fungi	 Ascomycota	 Lecanoromycetes	 Ostropales	 Graphidaceae	 Graphis	 Graphis koratensis
OTU_1224	Fungi	 Mucoromycota	 unidentified	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella sp. BlackDot
OTU_1941	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Ambrosiozyma	 Ambrosiozyma oregonensis
OTU_336	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Debaryomycetaceae	 Scheffersomyces	 Scheffersomyces spartinae
OTU_355	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Exophiala	 Exophiala sp. CPC 12173
OTU_1904	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Kuraishia	 Kuraishia sp. D4psO290
OTU_282	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Ramularia	 Ramularia hydrangeae-macrophyllae
