OTU	X02_0101	X02_0102	X02_0103	X02_0104	X02_0205	X02_0206	X02_0207	X02_0208	X02_0309	X02_0310	X02_0311	X02_0312	X04_0101	X04_0102	X04_0103	X04_0104	X04_0205	X04_0206	X04_0207	X04_0208	X04_0309	X04_0310	X04_0311	X04_0312
OTU20	0	0	0	0	0	22534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU201	0	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU202	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU203	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
OTU207	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU208	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21	0	0	0	0	0	22313	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0
OTU212	0	0	0	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU213	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU214	0	0	0	153	0	248	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU215	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU216	0	0	0	204	0	195	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU218	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	12	0	0	0
OTU22	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	20939	0	0	0	0	0
OTU221	0	0	0	0	0	0	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0
OTU229	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	0	0	0	0	0	0	0	0	0	0	37319	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU231	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	12	0	0
OTU233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	0	0	0	0	0	0
OTU236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	109	0	0
